Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,916777282.691659,932648604.751954,996068144.884889,1142315522.53864,1272360517.32373,1337894378.73743,1461859762.33459,1699811294.94935,1993407888.49838,2067381665.25454,2142591540.40068,2437982705.12093,2510126512.22831,1691544110.18543,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1388506771.58756,1710843377.00119,1997005708.81576,2742815071.5744,4422855660.82592,6649307523.64377,7428701453.91509,8650137743.32547,10393833765.3651,9290728318.98821,10668103554.1192,12172308851.0395,12367362757.1342,12953534866.4286,13940767218.5849,10950392256.9543,10097778098.1707,10000394381.0177,11239167898.3395,11314951091.7283,10715396042.3343,11779981332.8631,12704149840.2283
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,6439703434.71024,6232906290.4851,6663669064.7482,7332244897.95918,8553643354.08275,8827272727.27273,9676172953.08188,11514605842.3369,..,..,..,..,..,..,..,..,9511207129.35458,9530244530.24453,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,78339750717.0395,71574739558.6914,70264045959.6025,76492579644.0605,99075985721.5697,122294145211.371,153843518110.852,172491075948.358,179894594475.98,171777900623.177,217051209240.298,251382574083.741,267024782642.389,277395018674.682,259560978407.095,242450355827.827,249344864067.964,276154259806.312,295857562826.427,278598887622.96,254258196269.735,316581155648.871,301024724911.923
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1211331651829.85,1339400897153.44,1470557654824.11,1660280543870.95,1955346768757.64,2285961149904.26,2752118657221.64,3550327803024.69,4594336785752.06,5101691124358.41,6087191746738.57,7551545703518.14,8532185381696.43,9570471111847.82,10475624944290.1,11061572618594.8,11233313730288.5,12310491333980.9,13894907857925.9,14279968506242.8,14687744162801,17820459508852.2,17963171479205.3
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,99875074951.0278,98200641203.3892,97945812802.8882,94644969157.0987,117092416666.245,145600529626.71,161792958886.81,206229540893.231,242504150472.931,232468663073.684,286498534094.963,334966134865.3,370691143086.755,382093697077.685,381240864422.407,293492370228.844,282720100286.228,311866875135.578,334198218100.719,323031701210.765,270150956772.57,318511813576.97,343622114560.409
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,351136579.648632,378512024.077556,425964681.044378,546885222.713065,633706110.795614,653845169.168576,698431793.872776,795673153.183373,915659107.761613,905341173.9738,907978731.702123,1023086272.69622,1015843491.24635,1116224107.17116,1149587659.74502,966029599.801228,1012835492.51575,1077439756.12221,1188797449.96029,1195019531.03664,1225039195.93742,1296089479.45831,1242519407.27815
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484465.9388,14451901696.3878,16737071816.38,19788515590.1284,18648372553.0921,21565721044.8462,25839749199.3671,29306235285.2597,32679745048.4427,35909040925.9375,37917706497.1793,37134801555.3322,38019264794.8263,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,64718641221.216
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,3227927697.57921,2796704604.03812,3034250923.97726,3503723087.74483,4656974940.12721,6650001680.48544,8072305029.06514,8782703436.70188,11649857673.4436,9723299915.25312,13148396211.5955,15655383576.6515,17692911296.3044,17958720699.0868,17919224179.5609,12434829581.0287,10931247264.8116,11834406800.8818,14773806078.1348,13976661497.841,11468608530.2038,14825708810.7046,15816996654.5788
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.6944,26884700344.8406,30801744881.9502,30745714312.9905,37658614803.848,42762613699.9524,47231655431.1389,50949668840.8692,52016408951.8225,56441920821.0806,58847019609.6549,60516044657.2254,62420164991.5374,64417670521.1842,62395610760.3912,64960725734.2362,69243626028.6696
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,16577533891.1783,16810537037.873,18054383333.8602,21251754334.2005,23510575668.4394,24036918719.1307,25281413268.2105,28760090924.4659,34078240260.4002,33886813225.705,34936307964.5293,36693710823.1998,36302302845.3012,42760235497.5958,48843005625.5796,45815005170.815,48407761031.9226,52512344033.7688,58522477744.5444,59898479821.2323,62982768371.6208,71811075955.078,70018715016.8293
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,22128719418.4376,23063323722.5007,26757255951.7786,35254833028.402,41855265955.2919,45025332739.6707,49601608068.5472,59319172946.6829,68519137406.1683,62085753435.5869,58819429750.2234,62736258335.3541,57354547991.2213,59491066217.9088,59342363988.804,50857353544.2847,52512987755.9635,56061675144.3829,61481309636.1289,61470295887.8384,57760024673.9359,69081236641.2469,71600049650.195
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925925.9259,54262870370.3704,56302129629.6296,57481481481.4815,59562962962.963,68990000000,73141000000,77148000000,80656100000,87132800000,91370407863.7,96850649691.7406,100050036096.123,103427600000,107351800000,545217900000,633442300000
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,2930092237.27161,3012836256.55523,3033568606.16651,3059406995.39666,3058779211.89831,3024690188.01683,3033433248.15988,3046364819.53197,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732125693.847,27564931919.4782,24977293926.2891,23899444182.51,23155988617.4023,19842492366.5477,20952955488.0836,22870678689.4802,25523485042.6265,25947027570.4262,25227201184.2295,29482917678.8954,29250524418.0855
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,61828166496.0941,67808032979.5429,82196001050.7474,100090467581.268,119814434353.575,137143471328.274,156264095664.643,190183800884.018,236816485762.988,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290527550627.221
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,164158739097.623,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.17,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,346498737961.635,354762748338.661,405687998852.691,400167196948.707
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,551230861.856505,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,847918929.107984,999105339.267729,1049110684.72493,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3515108859.95465
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,333470370.37037,340203703.703704,333196296.296296,343311111.111111,367200000,364255555.555556,390251851.851852,421374074.074074,458188888.888889,489074074.074074,493825925.925926,501025925.925926,485996296.296296,498296296.296296,520429629.62963,540737037.037037,576229629.62963,521551851.851852,554770370.37037,611537037.037037,504214814.814815,555266666.666667,607440740.740741
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,24305780628.6677,25601823687.5742,27137440786.2562,21403167848.1444,22322387382.494,35777560683.9366,37879830084.2627,43965458508.5056,48122601530.3324,48261078913.7266,53860187257.9593,58029773599.455,60681535652.5373,62682159338.0354,67179955677.2791,71164826836.5281,75704647877.6559,79998046305.79,85555390139.118,88941372558.2397,78844656298.1776,94243425938.3647,113537368176.13
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,99291124000,106165866000,115049476000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,11784927700,12282533600,12664190300,13243892200,13724810900,14698000000,15999890000,17011750000,17986890000,17601620000,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000,32488720000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16314443436.2903,21357343668.9447,22388344143.9131,21948834283.7856,21765453081.9826,13185496881.4055,11240808846.6928,12200913887.6419,13097012124.2267,11364133546.2488,9893816016.147,12104994084.4108,12029633746.519
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,706370815.584416,752371683.221534,729321671.428501,870248293.699204,1109054005.43971,1098424709.46293,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,1589515447.15447,2065001626.01626,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,5686579747.53524,6254649538.98487,7367975887.72723,9874013098.46432,12145911801.2422,14106790200.2239,17022870405.2189,22449129482.617,24341678628.9732,19633031397.6104,19523477325.6235,23213994093.4631,23019150071.1867,25115753366.1114,26634083965.0987,22890762090.1508,24072829276.7744,26924385103.0659,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98,38100812958.5196
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,1738093840.36607,1542477308.89408,1432221739.12342,2197598466.25447,2770082791.50412,3178112498.67911,3291330019.17287,3469381231.49049,3294084314.15058,3580428052.81393,4438765085.93784,4820478680.18375,4886551483.93374,4597552981.56738,4422986271.74767,4063245671.29285,3816019193.16561,4402969225.92165,4666598024.18411,4466214591.14854,3982236692.55236,4850842571.59151,4790922065.6101
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,8242349617.8638,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648276605.0123,55612228233.5179,64589328550.5953,74296745207.8721,81770886825.6048,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126783471597.671
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,1067109530.64798,1160268212.07291,1275093689.27107,1501941580.88903,1724770770.83393,1759739599.22694,2017680834.89917,2339015313.29513,2489873249.62815,2296065170.05552,2331796784.36009,2505740669.27039,2427200388.91831,2690110520.92548,2914012679.27277,2573905971.05459,2813278868.78208,2980057377.87967,3188600927.46688,3266432734.22819,3262045883.37293,3655063937.93145,3555929833.05051
